number,family,genus,specific epithet,species,mycorrhizal type selivanov,mycorrhizal type modern,site number,intensity of mycorrhizal infection,literature data on presence-absence of mycorrhiza,mycorrhizal intensity min,mycorrhizal intensity max,taxonomy notes
259,Poaceae,Agropyron,lavrenkoanum,Agropyron lavrenkoanum,Ph.th.end.,AM,48,30,,,,ok
260,Poaceae,Agropyron,lavrenkoanum,Agropyron lavrenkoanum,Ph.th.end.,AM,49,30,,,,ok
261,Poaceae,Agropyron,lavrenkoanum,Agropyron lavrenkoanum,Ph.th.end.,AM,50,30,,,,ok
262,Poaceae,Agropyron,pectinatum,Agropyron pectinatum,Ph.th.end.,AM,49,90,,,,ok
263,Poaceae,Agropyron,pectinatum,Agropyron pectinatum,Ph.th.end.,AM,74,80,,,,ok
264,Poaceae,Agropyron,pectinatum,Agropyron pectinatum,Ph.th.end.,AM,82,80,,,,ok
265,Poaceae,Agropyron,pectinatum,Agropyron pectinatum,Ph.th.end.,AM,145,60,,,,ok
266,Poaceae,Agropyron,pectinatum,Agropyron pectinatum,Ph.th.end.,AM,148,80,,,,ok
267,Poaceae,Agropyron,pectinatum,Agropyron pectinatum,Ph.th.end.,AM,150,70,,,,ok
268,Poaceae,Agropyron,semicostatum,Agropyron semicostatum,Ph.th.end.,AM,153,,+,,,ok
269,Caryophyllaceae,Agrostemma,githago,Agrostemma githago,no,no,145,0,,,,ok
270,Poaceae,Agrostis,alba,Agrostis alba,Ph.th.end.,AM,31,66,,,,ok
271,Poaceae,Agrostis,alba,Agrostis alba,Ph.th.end.,AM,32,66,,,,ok
272,Poaceae,Agrostis,alba,Agrostis alba,Ph.th.end.,AM,46,100,,,,ok
273,Poaceae,Agrostis,alba,Agrostis alba,Ph.th.end.,AM,47,100,,,,ok
274,Poaceae,Agrostis,alba,Agrostis alba,Ph.th.end.,AM,96,60,,,,ok
275,Poaceae,Agrostis,alba,Agrostis alba,Ph.th.end.,AM,97,50,,,,ok
276,Poaceae,Agrostis,alba,Agrostis alba,Ph.th.end.,AM,125,65,,,,ok
277,Poaceae,Agrostis,alba,Agrostis alba,Ph.th.end.,AM,141,40,,,,ok
278,Poaceae,Agrostis,alba,Agrostis alba,Ph.th.end.,AM,142,50,,,,ok
279,Poaceae,Agrostis,alba,Agrostis alba,Ph.th.end.,AM,145,40,,,,ok
280,Poaceae,Agrostis,alba,Agrostis alba,Ph.th.end.,AM,150,,+,,,ok
281,Poaceae,Agrostis,alba,Agrostis alba,VAM,AM,153,,+,,,ok
282,Poaceae,Agrostis,alba,Agrostis alba,no,no,9,0,,,,ok
283,Poaceae,Agrostis,alba,Agrostis alba,no,no,33,0,,,,ok
284,Poaceae,Agrostis,alba,Agrostis alba,no,no,34,0,,,,ok
285,Poaceae,Agrostis,alba,Agrostis alba,no,no,35,0,,,,ok
286,Poaceae,Agrostis,alpina,Agrostis alpina,Ph.th.end.,AM,95,60,,,,ok
287,Poaceae,Agrostis,alpina,Agrostis alpina,Ph.th.end.,AM,96,60,,,,ok
288,Poaceae,Agrostis,canina,Agrostis canina,Ph.th.end.,AM,47,,+,,,ok
289,Poaceae,Agrostis,canina,Agrostis canina,VAM,AM,153,,+,,,ok
290,Poaceae,Agrostis,capillaris,Agrostis capillaris,Ph.th.end.,AM,95,40,,,,ok
291,Poaceae,Agrostis,capillaris,Agrostis capillaris,Ph.th.end.,AM,97,50,,,,ok
292,Poaceae,Agrostis,capillaris,Agrostis capillaris,Ph.th.end.,AM,112,30,,,,ok
293,Poaceae,Agrostis,coarctata,Agrostis coarctata,Ph.th.end.,AM,48,100,,,,ok
294,Poaceae,Agrostis,flaccida,Agrostis flaccida,Ph.th.end.,AM,153,,+,,,ok
295,Poaceae,Agrostis,macrantha,Agrostis macrantha,Ph.th.end.,AM,97,90,,,,ok
296,Poaceae,Agrostis,macrantha,Agrostis macrantha,Ph.th.end.,AM,98,90,,,,ok
297,Poaceae,Agrostis,macrantha,Agrostis macrantha,Ph.th.end.,AM,99,90,,,,ok
298,Poaceae,Agrostis,macrantha,Agrostis macrantha,Ph.th.end.,AM,100,90,,,,ok
299,Poaceae,Agrostis,macrantha,Agrostis macrantha,Ph.th.end.,AM,101,90,,,,ok
300,Poaceae,Agrostis,perennans,Agrostis perennans,Ph.th.end.,AM,153,,+,,,ok
301,Poaceae,Agrostis,planifolia,Agrostis planifolia,Ph.th.end.,AM,97,40,,,,ok
302,Poaceae,Agrostis,planifolia,Agrostis planifolia,Ph.th.end.,AM,98,40,,,,ok
303,Poaceae,Agrostis,planifolia,Agrostis planifolia,Ph.th.end.,AM,99,40,,,,ok
304,Poaceae,Agrostis,planifolia,Agrostis planifolia,Ph.th.end.,AM,100,40,,,,ok
305,Poaceae,Agrostis,planifolia,Agrostis planifolia,Ph.th.end.,AM,101,40,,,,ok
306,Poaceae,Agrostis,planifolia,Agrostis planifolia,Ph.th.end.,AM,112,60,,,,ok
307,Poaceae,Agrostis,planifolia,Agrostis planifolia,Ph.th.end.,AM,113,35,,,,ok
308,Poaceae,Agrostis,planifolia,Agrostis planifolia,Ph.th.end.,AM,114,30,,,,ok
309,Poaceae,Agrostis,planifolia,Agrostis planifolia,Ph.th.end.,AM,116,45,,,,ok
310,Poaceae,Agrostis,planifolia,Agrostis planifolia,Ph.th.end.,AM,120,35,,,,ok
311,Poaceae,Agrostis,planifolia,Agrostis planifolia,Ph.th.end.,AM,122,60,,,,ok
312,Poaceae,Agrostis,planifolia,Agrostis planifolia,Ph.th.end.,AM,123,45,,,,ok
313,Poaceae,Agrostis,planifolia,Agrostis planifolia,Ph.th.end.,AM,129,45,,,,ok
314,Poaceae,Agrostis,stolonifera,Agrostis stolonifera,VAM,AM,38,40,,,,ok
315,Poaceae,Agrostis,stolonifera,Agrostis stolonifera,VAM,AM,153,,+,,,ok
316,Poaceae,Agrostis,tenuis,Agrostis tenuis,Ph.th.end.,AM,9,40,,,,ok
317,Poaceae,Agrostis,tenuis,Agrostis tenuis,Ph.th.end.,AM,29,15,,,,ok
318,Poaceae,Agrostis,tenuis,Agrostis tenuis,Ph.th.end.,AM,31,40,,,,ok
319,Poaceae,Agrostis,tenuis,Agrostis tenuis,Ph.th.end.,AM,32,40,,,,ok
320,Poaceae,Agrostis,tenuis,Agrostis tenuis,VAM,AM,37,,+,,,ok
321,Poaceae,Agrostis,tenuis,Agrostis tenuis,Ph.th.end.,AM,95,40,,,,ok
322,Poaceae,Agrostis,tenuis,Agrostis tenuis,Ph.th.end.,AM,96,40,,,,ok
323,Poaceae,Agrostis,tenuis,Agrostis tenuis,Ph.th.end.,AM,97,50,,,,ok
324,Poaceae,Agrostis,tenuis,Agrostis tenuis,Ph.th.end.,AM,98,50,,,,ok
325,Poaceae,Agrostis,tenuis,Agrostis tenuis,Ph.th.end.,AM,99,50,,,,ok
326,Poaceae,Agrostis,tenuis,Agrostis tenuis,Ph.th.end.,AM,100,40,,,,ok
327,Poaceae,Agrostis,tenuis,Agrostis tenuis,Ph.th.end.,AM,101,60,,,,ok
328,Poaceae,Agrostis,tenuis,Agrostis tenuis,no,no,33,0,,,,ok
329,Simaroubaceae,Ailanthus,altissima,Ailanthus altissima,no,no,50,,-,,,ok
330,Simaroubaceae,Ailanthus,altissima,Ailanthus altissima,no,no,153,,-,,,ok
331,Poaceae,Aira,caryophyllaea,Aira caryophyllaea,Ph.th.end.,AM,153,,+,,,ok
332,Lamiaceae,Ajuga,genevensis,Ajuga genevensis,Ph.th.end.,AM,131,50,,,,ok
333,Lamiaceae,Ajuga,orientalis,Ajuga orientalis,Ph.th.end.,AM,107,60,,,,ok
334,Lamiaceae,Ajuga,orientalis,Ajuga orientalis,Ph.th.end.,AM,128,50,,,,ok
335,Lamiaceae,Ajuga,orientalis,Ajuga orientalis,Ph.th.end.,AM,129,70,,,,ok
336,Lamiaceae,Ajuga,reptans,Ajuga reptans,Ph.th.end.,AM,8,66,,,,ok
337,Lamiaceae,Alajja,anomala,Alajja anomala,Ph.th.end.,AM,144,76,,,,note that generic name may have changed
338,Fabaceae,Albizia,julibrissin,Albizia julibrissin,Ph.th.end.,AM,149,30,,,,ok
339,Malvaceae,Alcea,nudiflora,Alcea nudiflora,Ph.th.end.,AM,83,40,,,,ok
340,Rosaceae,Alchemilla,caucasica,Alchemilla caucasica,Ph.th.end.,AM,101,80,,,,ok
341,Rosaceae,Alchemilla,caucasica,Alchemilla caucasica,Ph.th.end.,AM,131,30,,,,ok
342,Rosaceae,Alchemilla,caucasica,Alchemilla caucasica,Ecto,Ectomycorrhiza ,96,,+,,,ok
343,Rosaceae,Alchemilla,caucasica,Alchemilla caucasica,Ecto,Ectomycorrhiza ,135,,+,,,ok
344,Rosaceae,Alchemilla,debilis,Alchemilla debilis,Ph.th.end.,AM,150,36,,,,ok
345,Rosaceae,Alchemilla,dura,Alchemilla dura,Ph.th.end.,AM,100,80,,,,ok
346,Rosaceae,Alchemilla,haraldi,Alchemilla haraldi,Ph.th.end.,AM,90,76,,,,ok
347,Rosaceae,Alchemilla,leiophylla,Alchemilla leiophylla,Ph.th.end.,AM,89,60,,,,ok
348,Rosaceae,Alchemilla,monticola,Alchemilla monticola,VAM,AM,37,,+,,,ok
349,Rosaceae,Alchemilla,persica,Alchemilla persica,Ph.th.end.,AM,96,60,,,,ok
350,Rosaceae,Alchemilla,retinervis,Alchemilla retinervis,Ecto,Ectomycorrhiza ,96,,+,,,ok
351,Rosaceae,Alchemilla,retinervis,Alchemilla retinervis,Ecto,Ectomycorrhiza ,135,,+,,,ok
352,Rosaceae,Alchemilla,retinervis,Alchemilla retinervis,no,no,131,0,,,,ok
353,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ph.th.end.,AM,101,60,,,,ok
354,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ph.th.end.,AM,112,55,,,,ok
355,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ph.th.end.,AM,113,60,,,,ok
356,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ph.th.end.,AM,114,45,,,,ok
357,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ph.th.end.,AM,115,45,,,,ok
358,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ph.th.end.,AM,116,60,,,,ok
359,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ph.th.end.,AM,117,60,,,,ok
360,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ph.th.end.,AM,120,90,,,,ok
361,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ph.th.end.,AM,121,50,,,,ok
362,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ph.th.end.,AM,122,60,,,,ok
363,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ph.th.end.,AM,123,50,,,,ok
364,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ph.th.end.,AM,126,30,,,,ok
365,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ph.th.end.,AM,128,60,,,,ok
366,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ph.th.end.,AM,130,20,,,,ok
367,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ph.th.end.,AM,150,44,,,,ok
368,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ecto,Ectomycorrhiza ,96,,+,,,ok
369,Rosaceae,Alchemilla,sericata,Alchemilla sericata,Ecto,Ectomycorrhiza ,135,,+,,,ok
370,Rosaceae,Alchemilla,sericea,Alchemilla sericea,Ph.th.end.,AM,131,90,,,,ok
371,Rosaceae,Alchemilla,sibirica,Alchemilla sibirica,Ph.th.end.,AM,141,78,,,,ok
372,Rosaceae,Alchemilla,sibirica,Alchemilla sibirica,Ph.th.end.,AM,142,20,,,,ok
373,Rosaceae,Alchemilla,smirnovii,Alchemilla smirnovii,Ph.th.end.,AM,96,50,,,,ok
374,Rosaceae,Alchemilla,strictissima,Alchemilla strictissima,Ph.th.end.,AM,87,82,,,,ok
375,Rosaceae,Alchemilla,vulgaris,Alchemilla vulgaris,Ph.th.end.,AM,29,70,,,,ok
376,Rosaceae,Alchemilla,vulgaris,Alchemilla vulgaris,Ph.th.end.,AM,30,78,,,,ok
377,Rosaceae,Alchemilla,vulgaris,Alchemilla vulgaris,Ph.th.end.,AM,32,80,,,,ok
378,Rosaceae,Alchemilla,vulgaris,Alchemilla vulgaris,Ph.th.end.,AM,35,30,,,,ok
379,Rosaceae,Alchemilla,vulgaris,Alchemilla vulgaris,VAM,AM,36,80,,,,ok
380,Rosaceae,Alchemilla,vulgaris,Alchemilla vulgaris,Ph.th.end.,AM,84,38,,,,ok
381,Rosaceae,Alchemilla,vulgaris,Alchemilla vulgaris,Ph.th.end.,AM,85,74,,,,ok
382,Rosaceae,Alchemilla,vulgaris,Alchemilla vulgaris,Ph.th.end.,AM,88,80,,,,ok
383,Rosaceae,Alchemilla,vulgaris,Alchemilla vulgaris,Ph.th.end.,AM,91,36,,,,ok
384,Rosaceae,Alchemilla,vulgaris,Alchemilla vulgaris,no,no,153,,-,,,ok
385,Euphorbiaceae,Aleurites,fordii,Aleurites fordii,Ph.th.end.,AM,87,76,,,,ok
386,Euphorbiaceae,Aleurites,fordii,Aleurites fordii,VAM,AM,152,,+,,,ok
387,Fabaceae,Alhagi,maurorum,Alhagi maurorum,VAM,AM,153,,+,,,ok
388,Fabaceae,Alhagi,pseudalhagi,Alhagi pseudalhagi,Ph.th.end.,AM,68,60,,,,ok
389,Alismataceae,Alisma,plantago-aquatica,Alisma plantago-aquatica,no,no,24,0,,,,ok
390,Alismataceae,Alisma,plantago-aquatica,Alisma plantago-aquatica,no,no,26,0,,,,ok
391,Alismataceae,Alisma,plantago-aquatica,Alisma plantago-aquatica,no,no,34,,-,,,ok
392,Alismataceae,Alisma,plantago-aquatica,Alisma plantago-aquatica,no,no,36,,-,,,ok
393,Alismataceae,Alisma,plantago-aquatica,Alisma plantago-aquatica,no,no,47,,-,,,ok
394,Alliaceae,Allium,albidum,Allium albidum,Ph.th.end.,AM,150,80,,,,ok
395,Alliaceae,Allium,borszczowi,Allium borszczowi,Ph.th.end.,AM,66,60,,,,ok
396,Alliaceae,Allium,borszczowi,Allium borszczowi,Ph.th.end.,AM,70,60,,,,ok
397,Alliaceae,Allium,carolinianum,Allium carolinianum,Ph.th.end.,AM,144,66,,,,ok
398,Alliaceae,Allium,caspium,Allium caspium,Ph.th.end.,AM,61,40,,,,ok
399,Alliaceae,Allium,caspium,Allium caspium,Ph.th.end.,AM,62,60,,,,ok
400,Alliaceae,Allium,caspium,Allium caspium,Ph.th.end.,AM,64,60,,,,ok
401,Alliaceae,Allium,decipiens,Allium decipiens,Ph.th.end.,AM,54,80,,,,ok
402,Alliaceae,Allium,decipiens,Allium decipiens,Ph.th.end.,AM,55,20,,,,ok
403,Alliaceae,Allium,decipiens,Allium decipiens,Ph.th.end.,AM,56,60,,,,ok
404,Alliaceae,Allium,fedschenkoanum,Allium fedschenkoanum,Ph.th.end.,AM,143,72,,,,ok
405,Alliaceae,Allium,fetisowi,Allium fetisowi,Ph.th.end.,AM,83,60,,,,ok
406,Alliaceae,Allium,jodanthum,Allium jodanthum,Ph.th.end.,AM,83,40,,,,ok
407,Alliaceae,Allium,karsianum,Allium karsianum,Ph.th.end.,AM,150,76,,,,ok
408,Alliaceae,Allium,pallasii,Allium pallasii,no,no,57,,-,,,ok
409,Alliaceae,Allium,porrum,Allium porrum,Ph.th.end.,AM,153,,+,,,ok
410,Alliaceae,Allium,pseudostrictum,Allium pseudostrictum,Ph.th.end.,AM,131,75,,70,80,ok
411,Alliaceae,Allium,sabulosum,Allium sabulosum,Ph.th.end.,AM,65,60,,,,ok
412,Alliaceae,Allium,saxatile,Allium saxatile,Ph.th.end.,AM,97,40,,,,ok
413,Alliaceae,Allium,schoenoprasum,Allium schoenoprasum,Ph.th.end.,AM,3,,+,,,ok
414,Alliaceae,Allium,schoenoprasum,Allium schoenoprasum,Ph.th.end.,AM,153,,+,,,ok
415,Alliaceae,Allium,schuberti,Allium schuberti,Ph.th.end.,AM,53,80,,,,ok
416,Alliaceae,Allium,schuberti,Allium schuberti,Ph.th.end.,AM,54,80,,,,ok
417,Alliaceae,Allium,schuberti,Allium schuberti,Ph.th.end.,AM,55,40,,,,ok
418,Alliaceae,Allium,schuberti,Allium schuberti,Ph.th.end.,AM,59,60,,,,ok
419,Alliaceae,Allium,schuberti,Allium schuberti,Ph.th.end.,AM,60,60,,,,ok
420,Alliaceae,Allium,schuberti,Allium schuberti,Ph.th.end.,AM,62,40,,,,ok
421,Alliaceae,Allium,schuberti,Allium schuberti,Ph.th.end.,AM,70,80,,,,ok
422,Alliaceae,Allium,scorodoprasum,Allium scorodoprasum,Ph.th.end.,AM,153,,+,,,ok
423,Alliaceae,Allium,strictum,Allium strictum,Ph.th.end.,AM,39,60,,,,ok
424,Alliaceae,Allium,strictum,Allium strictum,Ph.th.end.,AM,42,,+,,,ok
425,Alliaceae,Allium,tenuissimum,Allium tenuissimum,Ph.th.end.,AM,49,60,,,,ok
426,Alliaceae,Allium,ursinum,Allium ursinum,Ph.th.end.,AM,153,,+,,,ok
427,Alliaceae,Allium,victorialis,Allium victorialis,Ph.th.end.,AM,108,40,,10,70,ok
428,Alliaceae,Allium,victorialis,Allium victorialis,Ph.th.end.,AM,111,55,,40,70,ok
429,Alliaceae,Allium,waldsteinii,Allium waldsteinii,Ph.th.end.,AM,150,84,,,,ok
430,Betulaceae,Alnus,japonica,Alnus japonica,Ecto,Ectomycorrhiza ,154,,+,,,ok
431,Betulaceae,Alnus,rugosa,Alnus rugosa,Ecto,Ectomycorrhiza ,147,,+,,,ok
432,Araceae,Alocasia,indica,Alocasia indica,no,no,154,,-,,,ok
433,Araceae,Alocasia,macrorhiza,Alocasia macrorhiza,no,no,154,0,,,,ok
434,Araceae,Alocasia,macrorhiza,Alocasia macrorhiza,no,no,154,,-,,,ok
435,Asphodelaceae,Aloe,arborescens,Aloe arborescens,Ph.th.end.,AM,154,,+,,,ok
436,Poaceae,Alopecurus,aequalis,Alopecurus aequalis,no,no,3,,-,,,ok
437,Poaceae,Alopecurus,aequalis,Alopecurus aequalis,no,no,9,0,,,,ok
438,Poaceae,Alopecurus,aequalis,Alopecurus aequalis,no,no,34,0,,,,ok
439,Poaceae,Alopecurus,aequalis,Alopecurus aequalis,no,no,36,0,,,,ok
440,Poaceae,Alopecurus,alpinus,Alopecurus alpinus,Ph.th.end.,AM,84,28,,,,ok
441,Poaceae,Alopecurus,alpinus,Alopecurus alpinus,Ph.th.end.,AM,88,14,,,,ok
442,Poaceae,Alopecurus,alpinus,Alopecurus alpinus,Ph.th.end.,AM,89,30,,,,ok
443,Poaceae,Alopecurus,alpinus,Alopecurus alpinus,Ph.th.end.,AM,91,20,,,,ok
444,Poaceae,Alopecurus,alpinus,Alopecurus alpinus,no,no,1,,-,,,ok
445,Poaceae,Alopecurus,alpinus,Alopecurus alpinus,no,no,150,0,,,,ok
446,Poaceae,Alopecurus,arundinaceus,Alopecurus arundinaceus,Ph.th.end.,AM,40,100,,,,ok
447,Poaceae,Alopecurus,arundinaceus,Alopecurus arundinaceus,Ph.th.end.,AM,41,100,,,,ok
448,Poaceae,Alopecurus,arundinaceus,Alopecurus arundinaceus,Ph.th.end.,AM,42,100,,,,ok
449,Poaceae,Alopecurus,arundinaceus,Alopecurus arundinaceus,Ph.th.end.,AM,43,100,,,,ok
450,Poaceae,Alopecurus,arundinaceus,Alopecurus arundinaceus,Ph.th.end.,AM,44,100,,,,ok
451,Poaceae,Alopecurus,arundinaceus,Alopecurus arundinaceus,Ph.th.end.,AM,45,100,,,,ok
452,Poaceae,Alopecurus,arundinaceus,Alopecurus arundinaceus,Ph.th.end.,AM,46,,+,,,ok
453,Poaceae,Alopecurus,arundinaceus,Alopecurus arundinaceus,Ph.th.end.,AM,47,,+,,,ok
454,Poaceae,Alopecurus,arundinaceus,Alopecurus arundinaceus,Ph.th.end.,AM,48,100,,,,ok
455,Poaceae,Alopecurus,arundinaceus,Alopecurus arundinaceus,Ph.th.end.,AM,49,100,,,,ok
456,Poaceae,Alopecurus,arundinaceus,Alopecurus arundinaceus,Ph.th.end.,AM,50,100,,,,ok
457,Poaceae,Alopecurus,dasyanthus,Alopecurus dasyanthus,Ph.th.end.,AM,126,30,,,,ok
458,Poaceae,Alopecurus,dasyanthus,Alopecurus dasyanthus,Ph.th.end.,AM,131,90,,,,ok
459,Poaceae,Alopecurus,dasyanthus,Alopecurus dasyanthus,no,no,132,0,,,,ok
460,Poaceae,Alopecurus,geniculatus,Alopecurus geniculatus,Ph.th.end.,AM,40,27,,,,ok
461,Poaceae,Alopecurus,geniculatus,Alopecurus geniculatus,Ph.th.end.,AM,41,27,,,,ok
462,Poaceae,Alopecurus,geniculatus,Alopecurus geniculatus,Ph.th.end.,AM,42,27,,,,ok
463,Poaceae,Alopecurus,geniculatus,Alopecurus geniculatus,Ph.th.end.,AM,43,27,,,,ok
464,Poaceae,Alopecurus,geniculatus,Alopecurus geniculatus,Ph.th.end.,AM,44,27,,,,ok
465,Poaceae,Alopecurus,geniculatus,Alopecurus geniculatus,Ph.th.end.,AM,45,27,,,,ok
466,Poaceae,Alopecurus,geniculatus,Alopecurus geniculatus,Ph.th.end.,AM,46,27,,,,ok
467,Poaceae,Alopecurus,geniculatus,Alopecurus geniculatus,Ph.th.end.,AM,47,27,,,,ok
468,Poaceae,Alopecurus,geniculatus,Alopecurus geniculatus,Ph.th.end.,AM,48,27,,,,ok
469,Poaceae,Alopecurus,geniculatus,Alopecurus geniculatus,Ph.th.end.,AM,49,27,,,,ok
470,Poaceae,Alopecurus,geniculatus,Alopecurus geniculatus,Ph.th.end.,AM,50,27,,,,ok
471,Poaceae,Alopecurus,glacialis,Alopecurus glacialis,Ph.th.end.,AM,130,35,,,,ok
472,Poaceae,Alopecurus,glacialis,Alopecurus glacialis,Ph.th.end.,AM,131,30,,,,ok
473,Poaceae,Alopecurus,glacialis,Alopecurus glacialis,no,no,132,0,,,,ok
474,Poaceae,Alopecurus,pratensis,Alopecurus pratensis,VAM,AM,3,,+,,,ok
475,Poaceae,Alopecurus,pratensis,Alopecurus pratensis,Ph.th.end.,AM,31,40,,,,ok
476,Poaceae,Alopecurus,pratensis,Alopecurus pratensis,Ph.th.end.,AM,32,50,,,,ok
477,Poaceae,Alopecurus,pratensis,Alopecurus pratensis,Ph.th.end.,AM,34,40,,,,ok
478,Poaceae,Alopecurus,pratensis,Alopecurus pratensis,Ph.th.end.,AM,35,100,,,,ok
479,Poaceae,Alopecurus,pratensis,Alopecurus pratensis,Ph.th.end.,AM,37,,+,,,ok
480,Poaceae,Alopecurus,pratensis,Alopecurus pratensis,Ph.th.end.,AM,38,,+,,,ok
481,Poaceae,Alopecurus,pratensis,Alopecurus pratensis,Ph.th.end.,AM,82,40,,,,ok
482,Poaceae,Alopecurus,pratensis,Alopecurus pratensis,Ph.th.end.,AM,89,42,,,,ok
483,Poaceae,Alopecurus,pratensis,Alopecurus pratensis,Ph.th.end.,AM,91,30,,,,ok
484,Poaceae,Alopecurus,pratensis,Alopecurus pratensis,Ph.th.end.,AM,145,40,,,,ok
485,Poaceae,Alopecurus,pratensis,Alopecurus pratensis,Ph.th.end.,AM,148,40,,,,ok
486,Poaceae,Alopecurus,sericeus,Alopecurus sericeus,Ph.th.end.,AM,101,80,,,,ok
487,Poaceae,Alopecurus,sericeus,Alopecurus sericeus,Ph.th.end.,AM,131,85,,,,ok
488,Poaceae,Alopecurus,soongaricus,Alopecurus soongaricus,Ph.th.end.,AM,101,40,,,,ok
489,Poaceae,Alopecurus,vaginatus,Alopecurus vaginatus,Ph.th.end.,AM,40,100,,,,ok
490,Poaceae,Alopecurus,vaginatus,Alopecurus vaginatus,Ph.th.end.,AM,41,100,,,,ok
491,Poaceae,Alopecurus,vaginatus,Alopecurus vaginatus,Ph.th.end.,AM,42,100,,,,ok
492,Poaceae,Alopecurus,vaginatus,Alopecurus vaginatus,Ph.th.end.,AM,43,100,,,,ok
493,Poaceae,Alopecurus,vaginatus,Alopecurus vaginatus,Ph.th.end.,AM,44,100,,,,ok
494,Poaceae,Alopecurus,vaginatus,Alopecurus vaginatus,Ph.th.end.,AM,45,100,,,,ok
495,Poaceae,Alopecurus,vaginatus,Alopecurus vaginatus,Ph.th.end.,AM,46,100,,,,ok
496,Poaceae,Alopecurus,vaginatus,Alopecurus vaginatus,Ph.th.end.,AM,47,100,,,,ok
497,Poaceae,Alopecurus,vaginatus,Alopecurus vaginatus,Ph.th.end.,AM,48,100,,,,ok
498,Poaceae,Alopecurus,vaginatus,Alopecurus vaginatus,Ph.th.end.,AM,49,100,,,,ok
499,Poaceae,Alopecurus,vaginatus,Alopecurus vaginatus,Ph.th.end.,AM,50,100,,,,ok
500,Malvaceae,Althaea,officinalis,Althaea officinalis,VAM,AM,153,,+,,,ok
501,Malvaceae,Althaea,rosea,Althaea rosea,Ph.th.end.,AM,145,34,,,,ok
502,Brassicaceae,Alyssum,dasycarpum,Alyssum dasycarpum,no,no,74,0,,,,ok
503,Brassicaceae,Alyssum,linifolius,Alyssum linifolius,no,no,53,0,,,,note that generic name may have changed
504,Brassicaceae,Alyssum,linifolius,Alyssum linifolius,no,no,54,0,,,,note that generic name may have changed
505,Brassicaceae,Alyssum,linifolius,Alyssum linifolius,no,no,55,0,,,,note that generic name may have changed
506,Brassicaceae,Alyssum,linifolius,Alyssum linifolius,no,no,56,0,,,,note that generic name may have changed
507,Brassicaceae,Alyssum,maritimum,Alyssum maritimum,no,no,145,0,,,,ok
508,Brassicaceae,Alyssum,tortuosum,Alyssum tortuosum,Ps.end.,DS,98,30,,20,40,ok
509,Brassicaceae,Alyssum,tortuosum,Alyssum tortuosum,Ps.end.,DS,131,,+,,,ok
510,Brassicaceae,Alyssum,turkestanicum,Alyssum turkestanicum,no,no,53,0,,,,ok
511,Brassicaceae,Alyssum,turkestanicum,Alyssum turkestanicum,no,no,54,0,,,,ok
512,Brassicaceae,Alyssum,turkestanicum,Alyssum turkestanicum,no,no,55,0,,,,ok
513,Brassicaceae,Alyssum,turkestanicum,Alyssum turkestanicum,no,no,56,0,,,,ok
514,Brassicaceae,Alyssum,turkestanicum,Alyssum turkestanicum,no,no,59,0,,,,ok
515,Brassicaceae,Alyssum,turkestanicum,Alyssum turkestanicum,no,no,60,0,,,,ok
516,Amaranthaceae,Amaranthus,caudatus,Amaranthus caudatus,no,no,145,0,,,,ok
517,Asteraceae,Amberboa,turanica,Amberboa turanica,no,no,71,0,,,,ok
518,Asteraceae,Amberboa,turanica,Amberboa turanica,no,no,71,,-,,,ok
519,Rosaceae,Amelanchier,canadensis,Amelanchier canadensis,Ecto,Ectomycorrhiza ,50,,+,,,ok
520,Rosaceae,Amelanchier,florida,Amelanchier florida,VAM,AM,147,,+,,,ok
521,Rosaceae,Amelanchier,ovalis,Amelanchier ovalis,VAM,AM,147,,+,,,ok
522,Rosaceae,Amelanchier,spicata,Amelanchier spicata,VAM,AM,147,,+,,,ok
523,Fabaceae,Ammodendron,argenteum,Ammodendron argenteum,Ph.th.end.,AM,52,40,,,,ok
524,Fabaceae,Ammodendron,argenteum,Ammodendron argenteum,Ph.th.end.,AM,70,60,,,,ok
525,Fabaceae,Ammodendron,conollyi,Ammodendron conollyi,Ph.th.end.,AM,73,20,,,,ok
526,Fabaceae,Ammodendron,conollyi,Ammodendron conollyi,no,no,71,0,,,,ok
527,Poaceae,Ammophila,baltica,Ammophila baltica,Ph.th.end.,AM,153,,+,,,ok
528,Fabaceae,Amorpha,fruticosa,Amorpha fruticosa,Ph.th.end.,AM,95,85,,,,ok
529,Fabaceae,Amorpha,fruticosa,Amorpha fruticosa,no,no,50,,-,,,ok
